filename,asin,width,height,megapixels,min_dimension,aspect_ratio,brightness_mean,brightness_status,contrast_std,contrast_status,sharpness_laplacian_var,blur_flag,resolution_status,resolution_score,brightness_score,contrast_score,sharpness_score,overall_quality_score,quality_status,recommendations
B0002DINX6_img01.jpg,B0002DINX6,513,932,0.478,513,0.55,141.05,Acceptable,59.53,Acceptable,394.32,No,Moderate Resolution,56.17,100.0,100.0,85.12,84.58,Pass,Increase image resolution
B0002DINX6_img02.jpg,B0002DINX6,230,230,0.053,230,1.0,116.96,Acceptable,80.66,Acceptable,9565.38,No,Low Resolution,10.67,100.0,100.0,100.0,77.67,Review,Increase image resolution
B0002DINX6_img03.jpg,B0002DINX6,115,115,0.013,115,1.0,118.14,Acceptable,84.0,Acceptable,21111.04,No,Low Resolution,0.0,100.0,100.0,100.0,75.0,Review,Increase image resolution
B0002DINX6_img04.jpg,B0002DINX6,345,345,0.119,345,1.0,116.54,Acceptable,79.71,Acceptable,6171.05,No,Low Resolution,27.88,100.0,100.0,100.0,81.97,Pass,Increase image resolution
B0002DINX6_img05.jpg,B0002DINX6,230,230,0.053,230,1.0,180.54,Acceptable,85.65,Acceptable,13942.83,No,Low Resolution,10.67,100.0,100.0,100.0,77.67,Review,Increase image resolution
B0002DINX6_img06.jpg,B0002DINX6,115,115,0.013,115,1.0,181.58,Acceptable,85.69,Acceptable,26810.63,No,Low Resolution,0.0,100.0,100.0,100.0,75.0,Review,Increase image resolution
B0002DIUVQ_img01.jpg,B0002DIUVQ,230,230,0.053,230,1.0,190.55,Acceptable,94.51,Acceptable,7167.04,No,Low Resolution,10.67,100.0,88.72,100.0,75.41,Review,Increase image resolution
B0002DIUVQ_img02.jpg,B0002DIUVQ,115,115,0.013,115,1.0,192.89,Acceptable,93.79,Acceptable,16510.7,No,Low Resolution,0.0,100.0,90.51,100.0,73.1,Review,Increase image resolution
B0002DIUVQ_img03.jpg,B0002DIUVQ,345,345,0.119,345,1.0,189.94,Acceptable,94.52,Acceptable,4193.39,No,Low Resolution,27.88,100.0,88.69,100.0,79.71,Review,Increase image resolution
B0002DIUVQ_img04.jpg,B0002DIUVQ,230,230,0.053,230,1.0,172.04,Acceptable,88.69,Acceptable,12710.1,No,Low Resolution,10.67,100.0,100.0,100.0,77.67,Review,Increase image resolution
